filename,Code,Replicate,3a7a12k_taurine_14542,Di_taurine_19595,Tri_taurine_20369,3a12k_taurine_22309,Tri_glycine_25947,Di_glycine_27361,Di_taurine_29331,Di_taurine_30261,Di_glycine_34166,Di_glycine_34738,Mono_taurine_35357,Mono_glycine_38634
P1_E11_cluster560_A0A373HJM3,A0A373HJM3,rep1,1364152.5,3157.529,0,87345176,449198.44,2230635.5,25923530,0,2405548.8,1170037.1,63550700,6981734.5
P1_E11_cluster560_A0A373HJM3_rep2,A0A373HJM3,rep2,19770.65,0,0,24736.172,0,16293.821,30234.53,0,3461.034,0,50397.867,72420.91
P1_E11_cluster560_A0A373HJM3_rep3,A0A373HJM3,rep3,103360570,0,0,120676780,266222.6,3619957.5,20197150,0,3699764.8,1633913.8,84237464,6464728
P1_E12_cluster726_A0A942AQR8,A0A942AQR8,rep1,80056340,4897.107,0,4028324.2,0,12122969,9354935,3822.827,19863790,2131452.5,5210442.5,16919498
P1_E12_cluster726_A0A942AQR8_rep2,A0A942AQR8,rep2,2346.49,0,0,3615.124,0,10689.478,3000.764,0,11567.396,0,9161,38049.13
P1_E12_cluster726_A0A942AQR8_rep3,A0A942AQR8,rep3,104762824,0,0,19633356,0,17182934,26494598,0,35472956,3316292,16495458,20280434
P1_E2_cluster38_A0A1M3L7G3,A0A1M3L7G3,rep1,98474750,3663.365,0,95140840,875232.06,7889969,6533482,0,18354298,636578.4,53384256,16606821
P1_E2_cluster38_A0A1M3L7G3_rep2,A0A1M3L7G3,rep2,112199700,6003.866,0,116202000,1104891,7250559,24465720,0,21676070,1868381,71796940,17082280
P1_E2_cluster38_A0A1M3L7G3_rep3,A0A1M3L7G3,rep3,101106500,0,0,100764360,0,10346388,29875662,0,23808364,1318841,67630904,21524638
P1_E3_cluster83_A0A1Q6F0C9,A0A1Q6F0C9,rep1,82967944,9712.35,0,44062280,664205.2,7563893,17077056,0,14832959,1204628.2,45948490,16198774
P1_E3_cluster83_A0A1Q6F0C9_rep2,A0A1Q6F0C9,rep2,117499900,6151.618,0,148878900,1765501,7139626,20348170,0,24656410,886327.6,75165340,22166650
P1_E3_cluster83_A0A1Q6F0C9_rep3,A0A1Q6F0C9,rep3,97718050,6885.23,0,103319440,0,11068366,25463188,0,21445688,1278708.5,66445880,17972170
P1_E4_cluster144_A0A1C5VKY6,A0A1C5VKY6,rep1,60420920,0,0,52535096,0,2194485,10905701,15513.85,3148198.8,1717406.5,42178060,3358820.2
P1_E4_cluster144_A0A1C5VKY6_rep2,A0A1C5VKY6,rep2,63516548,3727.693,0,70234450,0,2670165.5,29154154,19597.295,4890108.5,2040452.6,79982080,17153742
